,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
128,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,0.46404296016048274,0.5359570398395171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,0.746132691805528,0.19053364328712857,0.0633336649073435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,0.2972091855981522,0.11255273613656551,0.39634372578465565,0.19389435248062636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,0.30156988847187677,0.09886600660717063,0.3935195199551117,0.19301324311152138,0.01303134185431943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,0.22677928150553603,0.1368912480336582,0.252173406675968,0.19606181602787703,0.018846868586585647,0.16924737917037466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,0.18439976757051155,0.32715000052890286,0.03748370226800373,0.10667425853750642,0.013820733181349767,0.02472007876961823,0.30575145914410795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,0.12062308637322641,0.25985062962663924,0.051053367021165655,0.069860848406816,0.03589454960439095,0.054118230870017714,0.22314781384971194,0.18545147424803182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,0.1290958685943815,0.19240370433582718,0.031627123596072115,0.07546229232154264,0.03588910871453483,0.0358596416165764,0.24624802069367735,0.18623032462128192,0.06718391550610608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,0.14080915250859194,0.18050355545085264,0.036546289752168226,0.078102514370525,0.02779392870230557,0.03548692932201466,0.22123428451539576,0.18508143218926157,0.05505479644686241,0.039387116742022416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1408,0.05977105980326513,0.14611036913701164,0.05019676286115242,0.06443678736035038,0.06787951399425048,0.04148540701335764,0.0960729902819871,0.21381140012416927,0.03337633505452275,0.05994874273549217,0.1669106316344407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,0.1444952591053012,0.06332139637108103,0.1354141389298748,0.09663137270095219,0.08872857754456165,0.07369324560471935,0.014885174477429843,0.04352975376599567,0.03674117082152694,0.026204927907241767,0.06359331258902881,0.2127616701822868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1664,0.05128563154835005,0.11436100615571806,0.04886409386663053,0.06631150305812654,0.03944020197040681,0.11121140998395242,0.007760715686708255,0.06792028228516063,0.06751953898947384,0.021882575107599174,0.16310893553022923,0.08111602996508707,0.15921807585255732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1792,0.10158779861589876,0.04182720330208424,0.1263765848249616,0.10648180783247982,0.02166626280868865,0.0990148454950869,0.03284138892870004,0.08872725327094196,0.021381322522714238,0.026753043571079497,0.088597017756906,0.1038928912928995,0.06225811238036889,0.07859446739718931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,0.10465087822377137,0.1282471134358384,0.051894058615491456,0.12588899802527284,0.01645811844987296,0.07230324542293297,0.1397072193644483,0.09135735298989377,0.03820428640263303,0.003665996746904718,0.019281805280887056,0.01931537785472589,0.033750006271362924,0.006310324251868412,0.14896521866409532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,0.08184665422413803,0.07019086353461763,0.05055623603504812,0.11757558477727834,0.046342546134727026,0.06550973826249587,0.0931227766191625,0.09421532431164795,0.05061658777388363,0.031433121154266254,0.05397545190152248,0.061669601351935124,0.04124911829966035,0.0011554786678895645,0.05137107231574291,0.08916984463598503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2176,0.07683307273827295,0.06945358818557702,0.05909091742060218,0.09857165728502448,0.03991388580379103,0.054568468365037315,0.09303211264717792,0.1250871223836595,0.05955956179756861,0.03409842098342604,0.037498294820464594,0.06687012738054442,0.03272515776456354,0.0056139219245745645,0.029670786867971196,0.03825227234833525,0.07916063128340935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2304,0.05978288607963312,0.07098846876608692,0.04997778400947889,0.10066916554902101,0.05603348770773624,0.05659955830783505,0.07247754039099255,0.12333461401669465,0.0664830719147709,0.0461526603549567,0.0005858604067561821,0.06836938566718347,0.03057356205040502,0.00865020148973432,0.020910140574078973,0.029236879531574323,0.05091943816855522,0.08825529501450666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2432,0.05492591000455883,0.08414620442900833,0.06683946050734772,0.05994943094706154,0.06623042451069265,0.063824591457795,0.05984182197484332,0.0782689463297469,0.07342065666731948,0.07613137942398444,0.0022141680756570708,0.056099498949620914,0.0409493157999172,0.03402627593479752,0.02269327882989485,0.000626876130716506,0.0007225968207263562,0.06763430208673925,0.09145486111957245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2560,0.0532822133548122,0.07277547982626885,0.06366221452734049,0.05039957811492481,0.05065093686522473,0.06769588721688123,0.0641879429209284,0.05806339257340839,0.05927433463619384,0.08259927916266242,0.0055752354848240745,0.06587651152220841,0.048017588625954254,0.032460116255495046,0.02112143199621726,0.0009682855607303331,0.001330118746808085,0.04900915482344275,0.07041948058750752,0.08263081719816673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688,0.06425743992565108,0.06158129697682409,0.05297278809481094,0.0504978794882645,0.04634871958256743,0.05759952375732192,0.06413103204165634,0.05319454623510266,0.04898008797387384,0.08185135472684567,0.008388621522170096,0.06752307239099663,0.041015617037885956,0.030921336766714123,0.02461063628919349,0.0024136959624373533,0.0026415776267442194,0.04287889499682941,0.05205254929929261,0.060188660735741334,0.08595066856907628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816,0.05896814135550355,0.051547660044988106,0.05677112258903586,0.058698635606728014,0.04087897688990448,0.054531252912394884,0.0627023825274032,0.05586818165806272,0.03865967503782663,0.07377418387370978,0.00852995648355948,0.0634046984927516,0.042099238408788306,0.026965884068084194,0.02747246192137426,0.004104529421902818,0.0039778342469018665,0.03988889296687743,0.03796422672205679,0.0503747976953523,0.06053627043756797,0.08228099663922656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2944,0.055548229389759556,0.05268590806008508,0.044516664124960297,0.05836250909689475,0.030151244019995426,0.055134967718406785,0.07200995455519525,0.05048365781505786,0.03342919412104827,0.05172908646135883,0.011647851834721112,0.06575918507039452,0.03941324522361854,0.01592470781516593,0.03717516273897342,0.02733562585642491,0.03139317733418639,0.03504094382054756,0.008104454690295977,0.05383937489142039,0.04921340245306149,0.05305085662148909,0.06805059628693902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3072,0.05093552462165027,0.049816520599554416,0.04031483887559261,0.05397023777985584,0.027560068177631077,0.05232880915137867,0.07065509351401737,0.05062715736984488,0.034429996737389376,0.04360029560152479,0.012686643242024747,0.060236831468527194,0.035979341141823405,0.01667863677284695,0.0441529764768553,0.027760070949360414,0.03174620800662555,0.03908239355534565,0.010951380528969996,0.04825347075991146,0.04279376063900325,0.041143666365826406,0.06074786874738733,0.05354820891705327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3200,0.051783054597299615,0.047264429657445664,0.040678348123919385,0.048259734710697874,0.02658262981722477,0.051453412893172026,0.06403851385591806,0.04063049200371177,0.037461162996985806,0.041856698099250224,0.011783665966901273,0.05247578543046772,0.0355552137252418,0.01766328387551047,0.044260744888499744,0.0265766746796586,0.031023756180748634,0.04137761043763339,0.013118099587916371,0.048560042496787185,0.0398750575594036,0.032854004266627414,0.058067030744163486,0.04566446439844254,0.05113608900637225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3328,0.04625803755862229,0.04944970034891559,0.04009783077258481,0.04382258738460968,0.024567208602113526,0.0510439702418423,0.05810920138283686,0.04088847126776549,0.03681820719658516,0.04143675867321081,0.011120372649776283,0.04903457907535185,0.034511455366718444,0.019702735058527807,0.04363179847667707,0.023707750215935797,0.030793081149333018,0.04229130994816717,0.015539938452392382,0.046915974108284776,0.03532787390860412,0.029835192552500445,0.053810536753208266,0.03899964912085237,0.043616925180103884,0.04866885455447927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3456,0.04123354422004249,0.049685430474001736,0.04197399281030879,0.041467695230357565,0.027118094103029265,0.043228703714854544,0.04837892666856266,0.04486277229395332,0.03357132611859044,0.03781543454282292,0.010682383844612491,0.043669220301699965,0.03383976527820147,0.024328068622567537,0.04041705855322744,0.02099826714040654,0.02867142340304008,0.04750391556047879,0.016805977343635665,0.05393505665991288,0.037507014656734367,0.035109487679970304,0.045507821695870705,0.02788521320872166,0.03168611780030194,0.03526094048234013,0.056856347591753995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3584,0.038199931996149336,0.04749610339446062,0.03968020756421184,0.04167422183340779,0.027378888800153857,0.040830988561597836,0.039335737614112784,0.04906381191850387,0.0356690722002416,0.03379083200087191,0.007887735328863256,0.04388388229862013,0.03297976544034112,0.02167562309220572,0.034661563292843596,0.021196460462442782,0.026184575544451822,0.05345382949561873,0.015994198743280327,0.050434406958812086,0.032766463295359656,0.036304170541645336,0.04592057038982795,0.027625245745186024,0.03024194509926734,0.03357360986710009,0.047737352380031295,0.044358806140390894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3712,0.03608225737344102,0.04592341774058094,0.03684202024347144,0.04484161578635002,0.026153778408888245,0.041481191204884214,0.034977207622322704,0.053128266652188574,0.03502705387969953,0.0324438193486996,0.00872041174664614,0.0475646046074594,0.03417454784419024,0.002645210075247169,0.027526976235928306,0.02062056469199384,0.02442048993673989,0.04823002638089618,0.013982707926976808,0.05092069428299025,0.03416370074172165,0.037610125942551295,0.04595181302698827,0.02635249230452541,0.02965783263098378,0.030131981424224196,0.04269008137667778,0.04068451658675146,0.047050593975982206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3840,0.034611485103054694,0.04434256617882843,0.033481882507852945,0.04342646642934595,0.024831742383691582,0.03816512697021911,0.032938578333666944,0.051022754876427295,0.03369886521587795,0.031865792823405605,0.007087021629825996,0.046755641207592645,0.033673625847879605,0.0032553892034840044,0.025829417444802435,0.020649084303297503,0.023064220520989193,0.04949729872089051,0.013395825115422812,0.0483794180007704,0.033893576196542693,0.03888668515998353,0.04637106218986743,0.026702989801868363,0.028417761264361185,0.027916246295229395,0.03917618578965816,0.036993409490599545,0.04124879804520727,0.04042108294935668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3968,0.03680007713807191,0.045323218534874934,0.03206425839636129,0.03858685747345093,0.021216340733201295,0.03487548798489026,0.032018214534973506,0.04922119299502234,0.030649962134682733,0.029195937988920097,0.007341867522241059,0.04795705846884213,0.03231515824425283,0.001543490501622511,0.02794755291201169,0.021023971425653657,0.023409201767574755,0.04631775248438099,0.01317809753500692,0.04558253852513364,0.0349818543726148,0.039434880572404865,0.046929498091170446,0.02651850881710502,0.027475666937627638,0.02810787234393435,0.03982569329124018,0.034743862746092195,0.033189789107247326,0.03179138391060662,0.04043275250878751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4096,0.0358526713252676,0.04292165002741984,0.030843533272697097,0.037205255405205126,0.02193705764867071,0.03195382776129455,0.029929410179702336,0.04740485823958433,0.028758767007194028,0.027494010382216633,0.00682479574204003,0.045706811285161145,0.03083949221257099,0.0020796457005822404,0.0285849623703116,0.02119907702363125,0.023344454449147387,0.04409989419531045,0.013225180524022764,0.04337832766559312,0.03428895605060442,0.03867287360421772,0.04811656523534533,0.026099357019265787,0.027732585532119484,0.02795067597046447,0.03817753563632949,0.03167973495970299,0.03207954338242839,0.029087269657503002,0.03499592590319676,0.03753529463119886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4224,0.03335195906711479,0.04063675807087924,0.03222242470055657,0.03629140554195589,0.021084303248344538,0.03124335265336824,0.030182343241722066,0.04524516391087788,0.02766554981009103,0.026007677324116674,0.006424093930100907,0.04169685897548584,0.02914335684737287,0.003016677952549301,0.027930029436244466,0.021995108982561816,0.023645733875906412,0.04459159836494592,0.012753272300176923,0.041580167358828524,0.0348506333776007,0.03838887385868792,0.048860402624269245,0.027844722310434607,0.029349517594936342,0.027677591756056497,0.03720834664213226,0.02915206619751149,0.030633767414641695,0.02384405732327645,0.028854485409973173,0.030696427068796717,0.035931272828483386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
